announcement_id,security_code,security_name,publish_date,fiscal_year,fiscal_period_type,record_date,ex_date,payment_date,cash_per_share,title,source_file,source_sha256,override_applied,status
1213569652,688168,安博通,2022-06-01,2021,ANNUAL,,,,,2021年年度权益分派实施公告更正公告,pdf/1213569652.pdf,e1dab65586914cbc4e46a4285e1641d0672eb95837eb5265db15496b048beada,false,CORRECTION_NOTICE
1213569705,300819,聚杰微纤,2022-06-01,2021,ANNUAL,2022-06-08,2022-06-09,2022-06-09,0.3,2021年年度权益分派实施公告,pdf/1213569705.pdf,b399c8a3da04f143d569a8f890ff0fbc6acbc3ea79d36243a010ad9d25ef45bd,false,COMPLETE
1213569902,603076,乐惠国际,2022-06-01,2021,ANNUAL,2022-06-07,2022-06-08,2022-06-08,0.08,乐惠国际2021年年度权益分派实施公告,pdf/1213569902.pdf,039e245489919f78122bbb44ae5a540125d253599beba9fd997c62ccc704d36c,false,COMPLETE
1213569903,603216,梦天家居,2022-06-01,2021,ANNUAL,2022-06-07,2022-06-08,2022-06-08,0.25,梦天家居集团股份有限公司2021年年度权益分派实施公告,pdf/1213569903.pdf,6f0fae283e5dbf2a3b685f613554b7f0094143fed2a5a296bed20a1103347989,false,COMPLETE
1213569999,603200,上海洗霸,2022-06-01,2021,ANNUAL,2022-06-08,2022-06-09,2022-06-10,0.1,上海洗霸科技股份有限公司2021年年度权益分派实施公告,pdf/1213569999.pdf,c64a5edc308b41a64ed398874d233ab4aa275c62386f112f417b92f91ac98e42,false,COMPLETE
1213570001,603838,四通股份,2022-06-01,2021,ANNUAL,2022-06-08,2022-06-09,2022-06-09,0.04,四通股份2021年年度权益分派实施公告,pdf/1213570001.pdf,3b3cdc9e5d3d13f8ed0d9711bc65e939a94b9e0e08d6ee9cf6ef52aaf6b618f2,false,COMPLETE
1213570003,603915,国茂股份,2022-06-01,2021,ANNUAL,2022-06-07,2022-06-08,2022-06-09,0.3,国茂股份2021年年度权益分派实施公告,pdf/1213570003.pdf,c2da8bdbcd25ca4b3efdd6da959519c640562212f5788e1e78e7981ea429586a,false,COMPLETE
1213570004,605488,福莱新材,2022-06-01,2021,ANNUAL,2022-06-07,2022-06-08,2022-06-09,0.5,福莱新材2021年年度权益分派实施公告,pdf/1213570004.pdf,db969bc8b1b14edf0b0002431db41aa1beba597cb657d6bfaa8fac4d603cc2cf,false,COMPLETE
1213570142,603638,艾迪精密,2022-06-01,2021,ANNUAL,2022-06-07,2022-06-08,2022-06-08,0.12,艾迪精密 2021年年度权益分派实施公告,pdf/1213570142.pdf,9dfc3105f0aeece0fe5d691bf8fbcc3ffe6197d30298c54817df36d19cebe2c5,false,COMPLETE
1213570213,600867,通化东宝,2022-06-01,2021,ANNUAL,2022-06-07,2022-06-08,2022-06-08,0.3,通化东宝2021年年度权益分派实施公告,pdf/1213570213.pdf,2700146580900b414a01a23d024214e06f2c802e1e1b3438e510468869439151,false,COMPLETE
1213570317,600160,巨化股份,2022-06-01,2021,ANNUAL,2022-06-08,2022-06-09,2022-06-09,0.13,巨化股份2021年年度权益分派实施公告,pdf/1213570317.pdf,053be8d743641925fda3e00ccff5c607dbc2215636a2e6364aa86a89962c0c33,false,COMPLETE
1213570326,600366,宁波韵升,2022-06-01,2021,ANNUAL,2022-06-07,2022-06-08,2022-06-08,0.1,宁波韵升2021年年度权益分派实施公告,pdf/1213570326.pdf,d238f0b36ce9b6d21dd2807636392fac5d92d992df11bb85454618048d66a8ce,false,COMPLETE
1213570346,603002,宏昌电子,2022-06-01,2021,ANNUAL,2022-06-08,2022-06-09,2022-06-09,0.29,宏昌电子2021年年度权益分派实施公告,pdf/1213570346.pdf,cdd8914c9e0dd42080bfc104070630f9c4cc7b473b1c0afa92d21fb6c2136646,false,COMPLETE
1213570349,603378,亚士创能,2022-06-01,2021,ANNUAL,2022-06-07,2022-06-08,2022-06-09,,亚士创能2021年年度权益分派实施公告,pdf/1213570349.pdf,43a729b9b97e93429e714a42bd6304464f116534ab84a871794f55843dac9c48,false,NO_CASH_DIVIDEND
1213570477,603387,基蛋生物,2022-06-01,2021,ANNUAL,2022-06-07,2022-06-08,2022-06-09,0.34, 基蛋生物：基蛋生物科技股份有限公司2021年年度权益分派实施公告,pdf/1213570477.pdf,9c7a34d52edb3ac3356040838ca1146bbe766e63e98cc6a36cd37db06ffd17d2,false,COMPLETE
1213570574,600740,山西焦化,2022-06-01,2021,ANNUAL,2022-06-09,2022-06-10,2022-06-10,0.15,山西焦化股份有限公司2021年年度权益分派实施公告,pdf/1213570574.pdf,6326a0b74e6b0534a03f799930525128aaf052abf47c177bbb31a12e24184324,false,COMPLETE
1213570584,601997,贵阳银行,2022-06-01,2021,ANNUAL,2022-06-08,2022-06-09,2022-06-09,0.3,贵阳银行股份有限公司2021年年度权益分派实施公告,pdf/1213570584.pdf,22b26b939b9e0fd031f02e9ac1391c55391e070ff3aface34525efb2ce514a10,false,COMPLETE
1213570677,603266,天龙股份,2022-06-01,2021,ANNUAL,2022-06-08,2022-06-09,2022-06-09,0.11,2021年年度权益分派实施公告,pdf/1213570677.pdf,506c4da25533809c80dd8deec472a2bd1b39429240dc62360bb0ac2664f1aa2d,false,COMPLETE
1213570678,688630,芯碁微装,2022-06-01,2021,ANNUAL,2022-06-08,2022-06-09,2022-06-09,0.2,2021年年度权益分派实施公告,pdf/1213570678.pdf,cb11caa1d38de076436e7cc44a2c325ba7a96e1a1170073d3f35d97afc299133,false,COMPLETE
