announcement_id,security_code,security_name,publish_date,record_date,ex_date,payment_date,cash_per_share,title,source_file,source_sha256,override_applied,status
1215242160,603196,日播时尚,2022-12-01,2022-12-06,2022-12-07,2022-12-07,0.15,日播时尚2022年季度权益分派实施公告,pdf/1215242160.pdf,a355562eec447d845270b4db3cbf3427a4aff6213964fc9355d582e16e13e839,false,COMPLETE
1215243685,301366,一博科技,2022-12-01,2022-12-06,2022-12-07,2022-12-07,0.47000000000000003,2022年第三季度权益分派实施公告,pdf/1215243685.pdf,bf7b6eeb77b54889ed2394350504632e34a1236fce5534298937fc3a59ed898c,false,COMPLETE
1215289417,601919,中远海控,2022-12-07,2022-12-13,2022-12-14,2022-12-14,2.01,中远海控2022年中期权益分派实施公告,pdf/1215289417.pdf,a25b2536f977cdaf25a0abc5fda44730b59fae65826d1be3cdbccf9f0c07ef26,false,COMPLETE
1215303718,603132,金徽股份,2022-12-09,2022-12-14,2022-12-15,2022-12-15,0.184,金徽矿业股份有限公司2022年前三季度权益分派实施公告,pdf/1215303718.pdf,a17966dcbf0a1c70b43fc02db826bd1ecd06150dc96e2e6bf2bef73d76b3c969,false,COMPLETE
1215325018,603599,广信股份,2022-12-12,2022-12-15,2022-12-16,2022-12-16,0.3,2022年季度权益分派实施公告,pdf/1215325018.pdf,8a26a9ecf68d47f5aef954eb46d02c424529a8e2c9be274ec4d79ea78cb674f9,false,COMPLETE
1215357899,002625,光启技术,2022-12-15,2022-12-22,2022-12-23,2022-12-23,0.135,2022年前三季度权益分派实施公告,pdf/1215357899.pdf,598237cbab77306abd9d82321ca77d3c14ce9d3c131fcadc20eb60b8f2a69fb1,false,COMPLETE
1215366323,300962,中金辐照,2022-12-16,2022-12-22,2022-12-23,2022-12-23,0.15,中金辐照股份有限公司2022年半年度权益分派实施公告,pdf/1215366323.pdf,d0ee808c9fbfa64ab5ca4763183f9c9f183e82b8bb8353b9bba613d91fcdf767,false,COMPLETE
1215366861,600162,香江控股,2022-12-16,2022-12-21,2022-12-22,2022-12-22,0.09,香江控股2022年前三季度权益分派实施公告,pdf/1215366861.pdf,08b775be8e0b36f188181ea51279b2c76360d412e87180d115fb14875cfb39b8,false,COMPLETE
1215367574,605018,长华集团,2022-12-16,2022-12-21,2022-12-22,2022-12-22,0.139,长华集团2022年前三季度权益分派实施公告,pdf/1215367574.pdf,b9849b822ce785da04f1ec15d1933e8d1da2a7ee8e08c64e31265d772892e708,false,COMPLETE
1215368019,601377,兴业证券,2022-12-16,2022-12-23,2022-12-26,2022-12-26,0.18,兴业证券2022年中期权益分派实施公告,pdf/1215368019.pdf,230be3fb09b779e63038a74d6fd1f18964c1b5b7ec221e1767d200488d31d56b,false,COMPLETE
1215376602,873122,中纺标,2022-12-16,2022-12-26,2022-12-27,2022-12-27,0.30804109999999996,2022 年第三季度权益分派实施公告,pdf/1215376602.pdf,718eb50320857be76f2ee48889c18c6e0dbbbade6d22d9ac23ee474924f1145f,false,COMPLETE
1215408119,600989,宝丰能源,2022-12-21,2022-12-26,2022-12-27,2022-12-27,0.1841,宁夏宝丰能源集团股份有限公司2022年前三季度度权益分派实施公告,pdf/1215408119.pdf,d0ce17862db32ba2dde975b62dcc2286d16188ee59e287589f1969edaad909d0,false,COMPLETE
1215417044,603444,吉比特,2022-12-22,2022-12-28,2022-12-29,2022-12-29,14.0,厦门吉比特网络技术股份有限公司2022年前三季度权益分派实施公告,pdf/1215417044.pdf,fd77862e190f1fffa62c6a693f50b67983cdd33d8833b746199163e91137d8b9,false,COMPLETE
