period,captured_announcements,cash_dividend_count,excluded_non_cash_or_correction_count,sh_sz_ordinary_cash_count,sh_sz_ordinary_complete_count,sh_sz_parse_complete,override_count,raw_records_sha256,normalized_sha256
2023-01,3,3,0,3,3,true,0,0dea887184deab858333d7072e06e7973e6a6e206bc09d2150f1d71aba4afd81,433c82d0bad6b8393dee0e994dcf51e6912348daa2bdcd965192c76fd07ef9aa
2023-02,1,1,0,1,1,true,0,fc48b23dc01bf888cf5998457c792a11a2695ec22c4c0b6ead5d5d6bc217b91e,af1c3e5124eb78e6634c5834da48f00ed919e22e1c10ce70d177ab15f1c25565
2023-03,14,13,1,13,13,true,0,8dbe3d31b4e43e58e67e5b868e677596815a64b6cbb2ed367a1a87ae64d2cd3e,cb10c1e17c2760587f92932a572f0f9a0a8fc1a21b72183171f08e0ca02be608
2023-04,172,170,2,160,160,true,0,e3f47d669700934ab360d2f2d45564e4ec3839415e78b67921029ee7c68fc492,8777c93999c5da4ec16edf045984fe56961087c044b9f01bc836307a26852026
2023-05,1169,1151,18,1059,1059,true,0,cf87cf4b31faf536b99d193fb97c543650d30805dd39266ee01c5ce66cda9325,89d5d9ea0701e62bc75063094184d5e6b0635bc429817084e515bfc15fc50e64
2023-06,1318,1294,24,1245,1245,true,0,fdceb19b2cf2f63942c5ec2003a9e1b81e3a4cf54b00fc6a37b444c8037ff693,936415258200006d52ad50c27f354d406ba20bca8fc7b86db03d2655bf81737e
2023-07,469,464,5,452,452,true,0,334bf09db25fec88d59235de3cd96e5c0ff8c2e68b3b5b0a2af7214cd2b7d404,63403e0f9f4d0deddda124a358f500adb1860e20253cd99a134587db54c163b5
2023-08,108,105,3,101,101,true,0,f549629d37a863fdf35ef2829b35e90b4730697215996be0e9e313a305e91cef,ab74575aa0c14ff5ef93fb7fdddf604c0522d19e9e7d514343b03d3de7fd83a8
2023-09,121,115,6,99,99,true,0,1f7d2bee6ae619eb0af0316d1daaac172b13b76960dc473ae6dec617da912df2,46c782963d3761fdad140fe607d77a7bb5349cf9a0f364b25a78fddba4eb0663
2023-10,37,37,0,34,34,true,0,cc9b21fb66c1c1ba591376a6bc31a7a8e98244f1acb4b67ee553667fc742ac6d,68da70ef3f5fa849bc005f6c72f1b45ea66a166c471d4dcb04cb843d0a7bac7d
2023-11,43,42,1,36,36,true,0,173cdebbb6b43746376a040cc3c9bc1eb1fda0a72b3378b8572441e0a95478fc,525c69fb0d8544feb5e7dfbaae6cdc6b939700d83da68f6160432fa63b3ef7f9
2023-12,21,21,0,17,17,true,0,133ab76a73da22e8ae55548e1220c3812242207b046c5c8473ab7a1895346f26,152a5743353c3b25aa3b57cb78698dcf56b62ff87378119c1240bf0764bb9b1a
