announcement_id,security_code,security_name,publish_date,record_date,ex_date,payment_date,cash_per_share,title,source_file,source_sha256,override_applied,status
1223586494,603320,迪贝电气,2025-05-20,2025-05-23,2025-05-26,2025-05-26,0.14,2024年年度权益分派实施公告,pdf/1223586494.pdf,687bad0288408fa5573a78c6b1ece074440fa2d54d87dfa7b02e01a45e265d81,false,COMPLETE
1223586767,002443,金洲管道,2025-05-20,2025-05-27,2025-05-28,2025-05-28,0.2,2024年年度权益分派实施公告,pdf/1223586767.pdf,4a1c56805ee14be84e8bffaf8c3711269229716262c189b6713b6ac1e361147a,false,COMPLETE
1223586819,688569,铁科轨道,2025-05-20,2025-05-26,2025-05-27,2025-05-27,0.35,铁科轨道2024年年度权益分派实施公告,pdf/1223586819.pdf,1c9fdb8504515c178604f26cee732dc46c4b3e6d52a7b7eda1878ff7877aae49,false,COMPLETE
1223586822,301118,恒光股份,2025-05-20,2025-05-23,2025-05-26,2025-05-26,0.125,2024年年度权益分派实施公告,pdf/1223586822.pdf,4cf04683b6994acc847d068b14adb4fc25f60db8e7ee7695e1a0512c7bad2556,false,COMPLETE
1223586932,600929,雪天盐业,2025-05-20,2025-05-27,2025-05-28,2025-05-28,0.087,2024年年度权益分派实施公告,pdf/1223586932.pdf,fa56df635b3c34ffeb5f2595b27a6ddce3a86abd7a852a3a210b057217f23bf2,false,COMPLETE
1223586936,603001,奥康国际,2025-05-20,2025-05-23,2025-05-26,2025-05-26,0.15,2024年度权益分派实施公告,pdf/1223586936.pdf,2c9d172889e5c3efb8ac10159da49906c3532fa149be4534ad76fa91e87edb81,false,COMPLETE
1223586946,605100,华丰股份,2025-05-20,2025-05-23,2025-05-26,2025-05-26,0.2,华丰动力股份有限公司2024年年度权益分派实施公告,pdf/1223586946.pdf,86f8f55d1302ae6cf865092cf03fcd42f684aaadd51a13b3fd992f577d2b98c8,false,COMPLETE
1223587114,603129,春风动力,2025-05-20,2025-05-26,2025-05-27,2025-05-27,3.85,春风动力2024年年度权益分派实施公告,pdf/1223587114.pdf,4b0056c0bdad32bf00492ad183ec97b928bd314b38f0227d6a6d798c4fc2a907,false,COMPLETE
1223587118,603588,高能环境,2025-05-20,2025-05-23,2025-05-26,2025-05-26,0.07,高能环境2024年年度权益分派实施公告,pdf/1223587118.pdf,67fdec54da5a55e2307dc2a8efac8de596ef0fe5d5f744429ea141b33df31f71,false,COMPLETE
1223587204,300837,浙矿股份,2025-05-20,2025-05-27,2025-05-28,2025-05-28,0.3,浙矿重工股份有限公司2024年年度权益分派实施公告,pdf/1223587204.pdf,612eff6db87b02d6dac77f0d5f28dd0421016e0836e7a6e5cc7b79747a36b838,false,COMPLETE
1223587220,601069,西部黄金,2025-05-20,2025-05-26,2025-05-27,2025-05-27,0.05,西部黄金股份有限公司2024年年度权益分派实施公告,pdf/1223587220.pdf,85c75673af282b23e38a6261566d7066e2d3bb50bc1ecb1063d787d1544a0d1d,false,COMPLETE
1223587229,603689,皖天然气,2025-05-20,2025-05-27,2025-05-28,2025-05-28,0.35,关于2024年年度权益分派实施公告,pdf/1223587229.pdf,2c14af79ed32f1d9630c8542c435576d796fcd00146bd6481d37a1e6daef9a3c,false,COMPLETE
1223587239,605580,恒盛能源,2025-05-20,2025-05-27,2025-05-28,2025-05-28,0.25,恒盛能源股份有限公司2024年年度权益分派实施公告,pdf/1223587239.pdf,24d1addbe628cbbe22ad54ae478463f6c602b144fd0f158bc374dcc8948bb204,false,COMPLETE
1223587245,688615,合合信息,2025-05-20,2025-05-23,2025-05-26,2025-05-26,2.0,上海合合信息科技股份有限公司2024年年度权益分派实施公告,pdf/1223587245.pdf,10f596045ff9939e8b174e331723ef6649dfcbbe9e1536ff041d63038c869c26,false,COMPLETE
1223587288,301061,匠心家居,2025-05-20,2025-05-23,2025-05-26,2025-05-26,0.5,2024年年度权益分派实施公告,pdf/1223587288.pdf,21c88b5d82b63af92c096a935c989c625fb1d54e8295a51c6c39710f8a839a8a,false,COMPLETE
1223587293,301157,华塑科技,2025-05-20,2025-05-27,2025-05-28,2025-05-28,0.2,2024年年度权益分派实施公告,pdf/1223587293.pdf,c8be1df7847372376f3449865776cb64de8509e52892cade3a6a58f939566494,false,COMPLETE
1223587365,301552,科力装备,2025-05-20,2025-05-26,2025-05-27,2025-05-27,1.0,2024年年度权益分派实施公告,pdf/1223587365.pdf,8db7a1798454ef1215c2efdeea87880a041129393bab6aae8a9e49aa400966cb,false,COMPLETE
1223587374,300687,赛意信息,2025-05-20,2025-05-26,2025-05-27,2025-05-27,0.06999999999999999,2024年度权益分派实施公告,pdf/1223587374.pdf,f2b1105c8f7fae9b991c0a0764c2918f2f74a0764023516de5267e30c1ada196,false,COMPLETE
1223587377,301606,绿联科技,2025-05-20,2025-05-26,2025-05-27,2025-05-27,0.6,2024年度权益分派实施公告,pdf/1223587377.pdf,704304cb5f3b3e041af9cc853eb7fea679dc7504b904fac65915c33d12188901,false,COMPLETE
1223587399,600038,中直股份,2025-05-20,2025-05-27,2025-05-28,2025-05-28,0.204,中航直升机股份有限公司2024年年度权益分派实施公告,pdf/1223587399.pdf,13aae99b5cf78746a893d35a36b9347905ae4449d3edd192aa03d92f7192c1c2,false,COMPLETE
1223587409,600433,冠豪高新,2025-05-20,2025-05-23,2025-05-26,2025-05-26,0.06,冠豪高新权益分派实施公告,pdf/1223587409.pdf,e8fe84861c819a21ea16cec7b75f2f9be3527d9d87b76ca9c0d9f328083743bc,false,COMPLETE
1223587441,605118,力鼎光电,2025-05-20,2025-05-27,2025-05-28,2025-05-28,0.31,力鼎光电2024年年度权益分派实施公告,pdf/1223587441.pdf,03ab1bc378a5f1310345d69d2fdc1909d3da9858e02ecd84ae2ee81e3c3b4a3c,false,COMPLETE
1223587450,301577,美信科技,2025-05-20,2025-05-23,2025-05-26,2025-05-26,0.3,2024年年度权益分派实施公告,pdf/1223587450.pdf,3d4c828c6df213c321b57ccd4204f0cd33562e6b589074a249b74b4886229206,false,COMPLETE
1223587511,000055,方大集团,2025-05-20,2025-05-27,2025-05-28,2025-05-28,0.05,2024年年度权益分派实施公告,pdf/1223587511.pdf,bc4444e9ea91b4353020bae929349eb7391ca5157bc7b0c28ad94c8996ecc5f0,false,COMPLETE
1223587512,301377,鼎泰高科,2025-05-20,2025-05-26,2025-05-27,2025-05-27,0.27999999999999997,2024年年度权益分派实施公告,pdf/1223587512.pdf,d15cacd72d09fa2092d78c4c02054b4dd98073b0afdcb58d242593b03f64e4f2,false,COMPLETE
1223587519,300651,金陵体育,2025-05-20,2025-05-27,2025-05-28,2025-05-28,0.15,关于金陵体育2024年年度权益分派实施公告,pdf/1223587519.pdf,2b7941b686028c532cc87bda64976ea818f5267c49b03bf35afd29985a9b17dc,false,COMPLETE
1223587529,002213,大为股份,2025-05-20,2025-05-26,2025-05-27,2025-05-27,0.020999999999999998,2024年年度权益分派实施公告,pdf/1223587529.pdf,24c04843032dd20c639f8af791f4d34fa6f5024af0f3d5bba15f1a047c4455f9,false,COMPLETE
1223587555,600103,青山纸业,2025-05-20,2025-05-23,2025-05-26,2025-05-26,0.012,2024年年度权益分派实施公告,pdf/1223587555.pdf,2c0ca8d79deb5daa6cea7263d337e79aeea574cd9c58e460e99b666a3b98e05f,false,COMPLETE
1223587563,601799,星宇股份,2025-05-20,2025-05-27,2025-05-28,2025-05-28,1.3,星宇股份2024年年度权益分派实施公告,pdf/1223587563.pdf,b4366d78788e373729392dd7d918e5bd25dbd1dfa87b929dadcfe6ff376697e8,false,COMPLETE
1223587586,001339,智微智能,2025-05-20,2025-05-26,2025-05-27,2025-05-27,0.08,2024年年度权益分派实施公告,pdf/1223587586.pdf,64f6f3ded07d4cce062ddafa1e94fd654d6a2c0675ad8b17cfb4b37972b1cafc,false,COMPLETE
1223587589,002276,万马股份,2025-05-20,2025-05-26,2025-05-27,2025-05-27,0.05,2024年年度权益分派实施公告,pdf/1223587589.pdf,0b9c51cf8e80d139a0fbb831ce112b7ee4a875c77e056c5063c21ab4f38019f8,false,COMPLETE
1223587606,300756,金马游乐,2025-05-20,2025-05-26,2025-05-27,2025-05-27,0.05,2024年年度权益分派实施公告,pdf/1223587606.pdf,bed5902ac2bdc512aad0191ac80b7fce24c5e26247672518a711413a23cebc0e,false,COMPLETE
1223587640,003030,祖名股份,2025-05-20,2025-05-23,2025-05-26,2025-05-26,0.15,2024年度权益分派实施公告,pdf/1223587640.pdf,d4150ca9f0709e4e6b5aacd805a196a800ea2cecf417374e620e403623ec90b2,false,COMPLETE
1223587643,000612,焦作万方,2025-05-20,2025-05-26,2025-05-27,2025-05-27,0.13,焦作万方铝业股份有限公司2024年年度权益分派实施公告,pdf/1223587643.pdf,8627a60a7136f0259e5fc820ff17bb1395f1472acb5534b62a9025420a9dd4b6,false,COMPLETE
1223587682,002293,罗莱生活,2025-05-20,2025-05-23,2025-05-26,2025-05-26,0.4,2024年年度权益分派实施公告,pdf/1223587682.pdf,c7bd72c372e62679238d1dfac28e6549ae4bd5728698e83c4c3b063f004cb28d,false,COMPLETE
1223587704,002582,好想你,2025-05-20,2025-05-23,2025-05-26,2025-05-26,1.0,2024年年度权益分派实施公告,pdf/1223587704.pdf,66573da24ad47ac303ee61538320988386bc0d40a7fedc8d2e88887c5e6275a7,false,COMPLETE
1223587757,600499,科达制造,2025-05-20,2025-05-23,2025-05-26,2025-05-26,0.2,科达制造股份有限公司2024年年度权益分派实施公告,pdf/1223587757.pdf,9b29555abeba4c33a712c0a74bc6087f5b3fb6b899c37af7334aab38c848d521,false,COMPLETE
1223587801,002703,浙江世宝,2025-05-20,2025-05-26,2025-05-27,2025-05-27,0.06,2024年年度权益分派实施公告,pdf/1223587801.pdf,503f0606f8c06f4f9ea7857eaf677ad2ebfd8ae2220a151707526225c24ca101,false,COMPLETE
1223587812,002394,联发股份,2025-05-20,2025-05-23,2025-05-26,2025-05-26,0.1,2024年度权益分派实施公告,pdf/1223587812.pdf,26f110456558aacdd107aef327a5a0286fb2a374dffb7692963e4720fc610f74,false,COMPLETE
1223587819,002518,科士达,2025-05-20,2025-05-26,2025-05-27,2025-05-27,0.22999999999999998,2024年度权益分派实施公告,pdf/1223587819.pdf,23ba953837a12d05804db7d6a7c9dc2240d8f6499b80c0b7e5d041bfebd0915a,false,COMPLETE
1223587820,001259,利仁科技,2025-05-20,2025-05-23,2025-05-26,2025-05-26,0.16,2024年年度权益分派实施公告,pdf/1223587820.pdf,1d0b9b9246219575769f7b365f77b08958845189b64f9aa84066d276c0197101,false,COMPLETE
1223587821,002969,嘉美包装,2025-05-20,2025-05-26,2025-05-27,2025-05-27,0.01,2024年年度权益分派实施公告,pdf/1223587821.pdf,9df5f76c1c256c63aa45f48b04e451d9ce1e6984be7531378b2737e8d7cac5f9,false,COMPLETE
1223587850,002416,爱施德,2025-05-20,2025-05-27,2025-05-28,2025-05-28,0.5,2024年年度权益分派实施公告,pdf/1223587850.pdf,0ce1f840e1a9165db214cd099d6fd920683ddbc85a72277315cde082f08127cb,false,COMPLETE
