announcement_id,security_code,security_name,publish_date,record_date,ex_date,payment_date,cash_per_share,title,source_file,source_sha256,status
1223694347,605377,华旺科技,2025-05-28,2025-06-03,2025-06-04,2025-06-04,0.45,杭州华旺新材料科技股份有限公司2024年年度权益分派实施公告,pdf/1223694347.pdf,ddbb0b459fff230840a1ca55ac3f9d959efc7d094258ea75a9001669e471eb67,COMPLETE
1223694378,002495,佳隆股份,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.008,2024年年度权益分派实施公告,pdf/1223694378.pdf,caa84e9c3c810b49add151126233f072bb83584ac91ffc9a2658548deebbea84,COMPLETE
1223694379,000544,中原环保,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.26,2024年年度权益分派实施公告,pdf/1223694379.pdf,367087e83a5f2a201f27c221b1e8753bfb6a9faede466ab05cfded39617bb36a,COMPLETE
1223694471,605318,法狮龙,2025-05-28,2025-06-03,2025-06-04,2025-06-04,0.3,法狮龙家居建材股份有限公司2024年年度权益分派实施公告,pdf/1223694471.pdf,66c596b0ea5b3540be8b03236f9e904553d6bd5635403e3b31e1cf5265336302,COMPLETE
1223694659,002100,天康生物,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.22000000000000003,2024年年度权益分派实施公告,pdf/1223694659.pdf,3f084a03e5131ccb5aa1d4d1c771a949caa0cdc8a564e8883b39d4468839be88,COMPLETE
1223694689,002274,华昌化工,2025-05-28,2025-06-05,2025-06-06,2025-06-06,0.3,2024年年度权益分派实施公告,pdf/1223694689.pdf,1f823eb70e44c78812e2a4068a415f2ce059d2dbab9fa5c30de313a21ea3ab60,COMPLETE
1223694691,002073,软控股份,2025-05-28,2025-06-05,2025-06-06,2025-06-06,0.1,2024年年度权益分派实施公告,pdf/1223694691.pdf,ba997630721d270d14996e94e18977ee776bd930477119840dd465f2df9aabed,COMPLETE
1223694745,601002,晋亿实业,2025-05-28,2025-06-04,2025-06-05,2025-06-05,0.1,晋亿实业股份有限公司2024年年度权益分派实施公告,pdf/1223694745.pdf,cfcb2002b43a86d1dc7551368ec1d8d632696d075e904a1e28b64cc61a6accb2,COMPLETE
1223694762,603586,金麒麟,2025-05-28,2025-06-05,2025-06-06,2025-06-06,0.4,山东金麒麟股份有限公司2024年年度权益分派实施公告,pdf/1223694762.pdf,fa7ee8472f10d1954f002a7c259af2dd164387579f5aeafd49a34a49db593fee,COMPLETE
1223694771,688305,科德数控,2025-05-28,2025-06-03,2025-06-04,2025-06-04,0.245,科德数控2024年年度权益分派实施公告,pdf/1223694771.pdf,def3a8548f993c85479bfaab8390b7c27344b58e2c6b54d9f5f77db37d41abdf,COMPLETE
