announcement_id,security_code,security_name,publish_date,fiscal_year,fiscal_period_type,record_date,ex_date,payment_date,cash_per_share,title,source_file,source_sha256,override_applied,status
1223624606,605389,长龄液压,2025-05-22,2024,ANNUAL,2025-05-27,2025-05-28,2025-05-28,0.3,江苏长龄液压股份有限公司2024年年度权益分派实施公告,pdf/1223624606.pdf,7b4de3ae94379d0360dfd130f76fc1f596a356eee260560182a3ae350a3b9725,false,COMPLETE
1223625066,688479,友车科技,2025-05-22,2024,ANNUAL,2025-05-28,2025-05-29,2025-05-29,0.5,2024年年度权益分派实施公告,pdf/1223625066.pdf,48507f4c455710c53c9c3ae919dc703e303bb0ebdd19329cc8a4ef8d368daba0,false,COMPLETE
1223625076,002636,金安国纪,2025-05-22,2024,ANNUAL,2025-05-28,2025-05-29,2025-05-29,0.08499999999999999,2024年年度权益分派实施公告,pdf/1223625076.pdf,981a4445ef4c7f5aed88e2044be2dfa7a238fd5c0d93e0cf3d54f1479f28b320,false,COMPLETE
1223625216,600980,北矿科技,2025-05-22,2024,ANNUAL,2025-05-28,2025-05-29,2025-05-29,0.1,北矿科技2024年年度权益分派实施公告,pdf/1223625216.pdf,6c65607502d044c3415134b8a8f2988b474336276f46b3ed48b15d922fd66577,false,COMPLETE
1223625218,603298,杭叉集团,2025-05-22,2024,ANNUAL,2025-05-27,2025-05-28,2025-05-28,0.5,杭叉集团：2024年年度权益分派实施公告,pdf/1223625218.pdf,988bfbefac546245a589f3aef02bfe0321b4112c116cc833132c324fa6e0ac07,false,COMPLETE
1223625290,300753,爱朋医疗,2025-05-22,2024,ANNUAL,2025-05-28,2025-05-29,2025-05-29,0.065,2024年年度权益分派实施公告,pdf/1223625290.pdf,c48d6a9a96983046dd1a37cc944dc4f5c37e3aa9a760989b9e0fde39a5c3d466,false,COMPLETE
1223625301,002916,深南电路,2025-05-22,2024,ANNUAL,2025-05-28,2025-05-29,2025-05-29,1.5,2024年年度权益分派实施公告,pdf/1223625301.pdf,a97575865a0d0b70aea49fad8b6c9969415eac04ef8c33e0c5403c84b419dc5a,false,COMPLETE
1223625303,000045,深纺织Ａ,2025-05-22,2024,ANNUAL,2025-05-27,2025-05-28,2025-05-28,0.071,2024年度权益分派实施公告,pdf/1223625303.pdf,2179dd4e67e914e236d50a645db9280557d25c5c2f576a60861b3bff4e231944,false,COMPLETE
1223625487,002782,可立克,2025-05-22,2024,ANNUAL,2025-05-27,2025-05-28,2025-05-28,0.15,2024年年度权益分派实施公告,pdf/1223625487.pdf,269f0a38eccbb3869b32f238f03f536d3dac4ca65c3e7603ef9296beb42cc39f,false,COMPLETE
1223625741,603344,星德胜,2025-05-22,2024,ANNUAL,2025-05-27,2025-05-28,2025-05-28,0.31,星德胜2024年度权益分派实施公告,pdf/1223625741.pdf,59474717f36c0d3ac2e8315eb6adfc53b86dba38b88ded76f79d49ce2eb3050b,false,COMPLETE
1223625793,688679,通源环境,2025-05-22,2024,ANNUAL,2025-05-28,2025-05-29,2025-05-29,0.05,权益分派实施公告,pdf/1223625793.pdf,8ecce325479ef816b6d84757ab419a8316d3018e27fc4cffd67362bda9e0284d,false,COMPLETE
1223625844,002900,哈三联,2025-05-22,2024,ANNUAL,2025-05-28,2025-05-29,2025-05-29,0.2,2024年年度权益分派实施公告,pdf/1223625844.pdf,92dc969f40969dde583253b0a62596c6697a55e5138c865daa292aabfe33cf93,false,COMPLETE
