announcement_id,security_code,security_name,publish_date,record_date,ex_date,payment_date,cash_per_share,title,source_file,source_sha256,status
1222190518,600727,鲁北化工,2025-01-01,2025-01-08,2025-01-09,2025-01-09,0.05,鲁北化工2024年前三季度权益分派实施公告,pdf/1222190518.pdf,e376b41f55bc94aa313e1cac067a6cfd06f672274379757b7b35ea92570c98ea,COMPLETE
1222190833,601677,明泰铝业,2025-01-01,2025-01-07,2025-01-08,2025-01-08,0.05,明泰铝业2024年前三季度权益分派实施公告,pdf/1222190833.pdf,ead7205afdc8e42130eb113c3eddc48701ffb3ddabff79eefa313e1026520bd1,COMPLETE
1222189004,001296,长江材料,2025-01-02,2025-01-07,2025-01-08,2025-01-08,0.2,2024年中期权益分派实施公告,pdf/1222189004.pdf,89a0b11447c2f6d378c7e988927f17b13ad7cf4b67c32768ece8bf5a4c1de527,COMPLETE
1222201322,600116,三峡水利,2025-01-02,2025-01-07,2025-01-08,2025-01-08,0.05,重庆三峡水利电力（集团）股份有限公司2024年前三季度权益分派实施公告,pdf/1222201322.pdf,dea4e2dcb4980f5eaf8ece85abd582a3fa8d0a242efd61d3fc2bf8f42ed56063,COMPLETE
1222201406,600919,江苏银行,2025-01-02,2025-01-09,2025-01-10,2025-01-10,0.3062,江苏银行2024年半年度权益分派实施公告,pdf/1222201406.pdf,325107d2e5d66e60be0c3f464b0c4a0a425c00f0bf857e0337bd06e6aa5359a8,COMPLETE
1222206821,920002,万达轴承,2025-01-02,,2025-01-10,2025-01-10,0.2,2024年第三季度权益分派实施公告,pdf/1222206821.pdf,d169377cd3fac52d4fe5dcaa559002e8ec680036973261b8ea12140800cd7ad0,INCOMPLETE
1222207630,301517,陕西华达,2025-01-02,2025-01-09,2025-01-10,2025-01-10,0.02,2024年第三季度权益分派实施公告,pdf/1222207630.pdf,43737367a604cb864d69b5497f5a5e5e603935714f89fe97587806902e3fbf3d,COMPLETE
1225296443,920002,万达轴承,2025-01-02,,2025-01-10,2025-01-10,0.2,2024年第三季度权益分派实施公告,pdf/1225296443.pdf,d169377cd3fac52d4fe5dcaa559002e8ec680036973261b8ea12140800cd7ad0,INCOMPLETE
1222205054,300816,艾可蓝,2025-01-03,2025-01-09,2025-01-10,2025-01-10,0.064,2024年前三季度权益分派实施公告,pdf/1222205054.pdf,15d899c61e1cf1a3ffc50c45b3dfa3b1aae1e08868f1164ac45f863d0d91ee8b,COMPLETE
1222205648,300357,我武生物,2025-01-03,2025-01-09,2025-01-10,2025-01-10,0.1,2024年前三季度权益分派实施公告,pdf/1222205648.pdf,276b6f4c0659ac0f8f059f289e690121b265bb6875817d14b497e7dd4dbaca87,COMPLETE
1222206383,002746,仙坛股份,2025-01-03,2025-01-09,2025-01-10,2025-01-10,0.1,2024年前三季度权益分派实施公告,pdf/1222206383.pdf,c601c62a3a8bcd203b3260bc340131a4f3f62dcc239d69835dc95350382f5963,COMPLETE
1222206961,000811,冰轮环境,2025-01-03,2025-01-09,2025-01-10,2025-01-10,0.1,2024年前三季度权益分派实施公告,pdf/1222206961.pdf,76ee8a4619b7d1c186d4e42cbea71edf3c196dbc35f1da9ae2842bea5db89119,COMPLETE
1222207097,301206,三元生物,2025-01-03,2025-01-09,2025-01-10,2025-01-10,0.25,2024年前三季度权益分派实施公告,pdf/1222207097.pdf,5bd0590fa45e45d3bb47ac68d85ce84d4a7f6ff7cfc637c76a377097067f4cac,COMPLETE
1222207460,300683,海特生物,2025-01-03,2025-01-08,2025-01-09,2025-01-09,0.13,2024年前三季度权益分派实施公告,pdf/1222207460.pdf,8fa06f76880e90e5d38512cb3317a1dc0407828fc5b84a230700b25e49307c3c,COMPLETE
1222207723,003008,开普检测,2025-01-03,2025-01-09,2025-01-10,2025-01-10,0.15,2024年第三季度权益分派实施公告,pdf/1222207723.pdf,bf4facf53f432665123421e94735fd774efad0b618c833f33d134672dfb80700,COMPLETE
1222222063,301365,矩阵股份,2025-01-03,2025-01-09,2025-01-10,2025-01-10,0.16699999999999998,2024年前三季度权益分派实施公告,pdf/1222222063.pdf,084c3f7b5d669dcf099969d2bea91c68b84c96b4bb0e2e5613023f0dbd2303d9,COMPLETE
1222224854,836263,中航泰达,2025-01-03,,2025-01-10,2025-01-10,0.1429,2024年第三季度权益分派实施公告,pdf/1222224854.pdf,a0577755732c7b5df6eb58445428c219ff17dcdf69277cfcd753b44d491d966c,INCOMPLETE
1222225064,301586,佳力奇,2025-01-03,2025-01-09,2025-01-10,2025-01-10,0.27999999999999997,2024年前三季度权益分派实施公告,pdf/1222225064.pdf,6b3feaf13babcc4b8773ce176f75e5f813cba287cdd4fbc7292c1f96f2984057,COMPLETE
1222221973,002299,圣农发展,2025-01-04,2025-01-09,2025-01-10,2025-01-10,0.2,2024年前三季度权益分派实施公告,pdf/1222221973.pdf,c293a620157f8065c327e17aa9f17a1625b53455e8c1b69b528dbda2a5ce6143,COMPLETE
1222222266,603270,金帝股份,2025-01-04,2025-01-09,2025-01-10,2025-01-10,0.1,山东金帝精密机械科技股份有限公司2024年三季度权益分派实施公告,pdf/1222222266.pdf,79329322583f805d7282e169d15ba8100c1fcb78eefa0ec9f750fe613fe610fc,COMPLETE
1222222983,000400,许继电气,2025-01-04,2025-01-09,2025-01-10,2025-01-10,0.08299999999999999,2024年第三季度权益分派实施公告,pdf/1222222983.pdf,19914ee8c3013131581dca6f19837dd80a22a56a02e22e9d367fc4bc388e5ebb,COMPLETE
1222223277,301283,聚胶股份,2025-01-04,2025-01-09,2025-01-10,2025-01-10,0.5,2024年前三季度权益分派实施公告,pdf/1222223277.pdf,cf09027fd067a389723ab855dede632f00830691e8be0caa17c1e059bebc3f26,COMPLETE
1222223822,002458,益生股份,2025-01-04,2025-01-09,2025-01-10,2025-01-10,0.1,2024年前三季度权益分派实施公告,pdf/1222223822.pdf,06166c24e6c6ab8bb5b18f140801591c7473c4fd10bf16547a47182f81b3d1f4,COMPLETE
1222224870,300121,阳谷华泰,2025-01-04,2025-01-09,2025-01-10,2025-01-10,0.06999999999999999,2024年前三季度权益分派实施公告,pdf/1222224870.pdf,559613d8769b77575d112415aca19cc4936af742002f866d7db7024d5e812431,COMPLETE
1222225049,002967,广电计量,2025-01-06,2025-01-09,2025-01-10,2025-01-10,0.25,2024年中期权益分派实施公告,pdf/1222225049.pdf,79cf95aea851b20de8bd0431adf5e988933090592e2071b6213c7a7fcaab8919,COMPLETE
1222238882,600903,贵州燃气,2025-01-06,2025-01-10,2025-01-13,2025-01-13,0.015,贵州燃气集团股份有限公司权益分派实施公告,pdf/1222238882.pdf,bcf6cd51eebcc4241ef1589cb5b6b8800f950476929c714e83aee9c1b642ee13,COMPLETE
1222238884,601319,中国人保,2025-01-06,2025-01-09,2025-01-10,2025-01-10,0.063,中国人保2024年半年度权益分派实施公告,pdf/1222238884.pdf,7eddcf0577fafa7a5ae970bd9c4fbb536de643fa229409f91134838716ed9e56,COMPLETE
1222238931,688767,博拓生物,2025-01-06,2025-01-09,2025-01-10,2025-01-10,0.5,博拓生物2024年前三季度权益分派实施公告,pdf/1222238931.pdf,0a0add01768dfc2429cfcb2d84cb067d6ee21aeeea0a0de954f7fad0bc410bc6,COMPLETE
1222244476,300990,同飞股份,2025-01-06,2025-01-10,2025-01-13,2025-01-13,0.2,2024年前三季度权益分派实施公告,pdf/1222244476.pdf,dffb8cf6e4494b831d5f17740a7e57a02fb11c569fe81470952c20eb2e51fe4e,COMPLETE
1222246995,870976,视声智能,2025-01-06,,2025-01-13,2025-01-13,0.2,2024年第三季度权益分派实施公告,pdf/1222246995.pdf,d8145f5809d95257e089b293a25352db36d64b8b17059074fb8b6e29cbb091cc,INCOMPLETE
1222245293,002765,蓝黛科技,2025-01-07,2025-01-10,2025-01-13,2025-01-13,0.05,2024年前三季度权益分派实施公告,pdf/1222245293.pdf,7fbdff041ddf076ee50587f72c28cf858155ebf4cbe66b42f57b22105a26e098,COMPLETE
1222258354,301371,敷尔佳,2025-01-07,2025-01-14,2025-01-15,2025-01-15,0.5,2024年第三季度权益分派实施公告,pdf/1222258354.pdf,b7ea4410e4f03361cf3c070fdd634cd0339e149cc1bdf93d504c8cc0e7ecfa79,COMPLETE
1222258504,000685,中山公用,2025-01-08,2025-01-14,2025-01-15,2025-01-15,0.35,特别分红权益分派实施公告,pdf/1222258504.pdf,ad9bbaf56126b2bfb8059e233ce0a723f86cd60bc610fd96f4eead1dbbf6ce5c,COMPLETE
1222258942,002982,湘佳股份,2025-01-08,2025-01-13,2025-01-14,2025-01-14,0.2,2024年前三季度权益分派实施公告,pdf/1222258942.pdf,8b7d5a97ec4930fda0b788ae69eb8fba7699c2cdd7c6670df3017a1b2c6f3a3b,COMPLETE
1222259632,002971,和远气体,2025-01-08,2025-01-13,2025-01-14,2025-01-14,0.1,2024年中期权益分派实施公告,pdf/1222259632.pdf,bc1170af99c4acb9e9d4643a8a756c7052e7a2501f3f3ce72e4a8afcae541bc1,COMPLETE
1222269567,300046,台基股份,2025-01-08,2025-01-15,2025-01-16,2025-01-16,0.065,2024年前三季度权益分派实施公告,pdf/1222269567.pdf,53718532a9798cde2184f13fcb4a327946968a0043c3be7a818ce2a0e213bc4c,COMPLETE
1222269579,300622,博士眼镜,2025-01-08,2025-01-15,2025-01-16,2025-01-16,0.11000000000000001,2024年第三季度权益分派实施公告,pdf/1222269579.pdf,ed7bca29be6d3f5c3353460d001f2b854d4977c4a85a200b0a912a6cbefefa2c,COMPLETE
1222271960,430718,合肥高科,2025-01-08,,2025-01-15,2025-01-15,0.1,2024年第三季度权益分派实施公告,pdf/1222271960.pdf,26a104ba51fe7d449c52ddbe060b9f314e024112b8b2a0fef2e5c06c489b10af,INCOMPLETE
1222269128,688334,西高院,2025-01-09,2025-01-14,2025-01-15,2025-01-15,0.1,2024年前三季度权益分派实施公告,pdf/1222269128.pdf,4dc2f0f94d39187d02158942c3bfca9cfb06bee99a6e4d66d191ee845d3656fa,COMPLETE
1222270772,301322,绿通科技,2025-01-09,2025-01-15,2025-01-16,2025-01-16,0.2,2024年前三季度权益分派实施公告,pdf/1222270772.pdf,301eecfe1a7cd71bc89f1b59f887e93eac67104c3ac37a0e9054ac620e1334f5,COMPLETE
1222270952,600337,美克家居,2025-01-09,2025-01-14,2025-01-15,2025-01-15,0.012,美克国际家居用品股份有限公司2024年前三季度权益分派实施公告,pdf/1222270952.pdf,cdc8c37c33dcddcbf90cf7d5a02cc82767c55831790b6cf729973ad864f4b0f1,COMPLETE
1222270976,000977,浪潮信息,2025-01-09,2025-01-16,2025-01-17,2025-01-17,0.045,2024年前三季度权益分派实施公告,pdf/1222270976.pdf,185bf9c54e46cb59c30ecee7c7757746a35d2ee905b0077051b6c2966f818322,COMPLETE
