issuer_code,issuer_name,asset_or_project,product,route,asset_state,capacity_tpa,ownership_share,effective_from,effective_to,filing_publish_datetime,source_ids_json,filing_urls_json,source_sha256s_json,page_or_table,evidence_status,notes,closure_visibility_date,closure_source_ids_json,closure_filing_urls_json,closure_source_sha256s_json
000301.SZ,东方盛虹,斯尔邦POE工业化规划,other_PE,unknown,planned,300000,收购时100%；实施主体/当前比例未闭合,,,2023-04-18,"[""000301-2022-annual""]","[""http://static.cninfo.com.cn/finalpage/2023-04-18/1216438050.PDF""]","[""4deab962dced2de5e4eeba77bc4d56130adfa4ffa5fe35a27d89c79f24c865be""]",PDF p.19,partial,规划产能；仅10万吨已在后续年报确认投产。,,[],[],[]
000301.SZ,东方盛虹,江苏虹景20万吨/年光伏级EVA项目,other_PE,unknown,planned,200000,控股子公司；比例未绑定,,,2023-04-18,"[""000301-2022-annual""]","[""http://static.cninfo.com.cn/finalpage/2023-04-18/1216438050.PDF""]","[""4deab962dced2de5e4eeba77bc4d56130adfa4ffa5fe35a27d89c79f24c865be""]",PDF p.22 环评批复,partial,环评批复不等于投产。,,[],[],[]
000301.SZ,东方盛虹,斯尔邦既有EVA装置（随100%股权收购）,other_PE,coal_MTO,operating,300000,100% from acquisition date,2021-12-31,2025-12-30,2023-04-18,"[""000301-2021-acquisition"", ""000301-2022-annual""]","[""http://static.cninfo.com.cn/finalpage/2022-01-24/1212241826.PDF"", ""http://static.cninfo.com.cn/finalpage/2023-04-18/1216438050.PDF""]","[""54fe374c8bf2cac14037d04139f830771371d9dae4f4c3072542dfd07b1eef3c"", ""4deab962dced2de5e4eeba77bc4d56130adfa4ffa5fe35a27d89c79f24c865be""]","收购公告 p.16；2022年报 p.16,21",qualified,effective_from为上市公司取得权益日，不是装置原始投产日。,2026-04-29,"[""000301-2025-annual""]","[""https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/7aeacb41-e758-4de3-b2e4-83a72349663f.pdf""]","[""da3ed137a85d3217cc60a56dfa656268423831fbeb194b3be9658b3ea1b8d2fc""]"
000301.SZ,东方盛虹,斯尔邦2万吨/年UHMWPE项目,other_PE,unknown,operating,20000,收购时100%；后续比例未闭合,2022-12-31,,2023-04-18,"[""000301-2022-annual""]","[""http://static.cninfo.com.cn/finalpage/2023-04-18/1216438050.PDF""]","[""4deab962dced2de5e4eeba77bc4d56130adfa4ffa5fe35a27d89c79f24c865be""]","PDF p.18-19,22",partial,投产日期和容量明确；乙烯来源未绑定。,,[],[],[]
000301.SZ,东方盛虹,斯尔邦10万吨/年POE工业化装置,other_PE,unknown,operating,100000,当前精确比例未闭合,2025-09-30,,2026-04-29,"[""000301-2025-annual""]","[""https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/7aeacb41-e758-4de3-b2e4-83a72349663f.pdf""]","[""da3ed137a85d3217cc60a56dfa656268423831fbeb194b3be9658b3ea1b8d2fc""]","PDF p.12,15-16",partial,年报只给2025年三季度投产，使用季度末保守日期。,,[],[],[]
000301.SZ,东方盛虹,斯尔邦EVA总产能（2025年末快照）,other_PE,unknown,operating,900000,当前精确比例未闭合,2025-12-31,,2026-04-29,"[""000301-2025-annual""]","[""https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/7aeacb41-e758-4de3-b2e4-83a72349663f.pdf""]","[""da3ed137a85d3217cc60a56dfa656268423831fbeb194b3be9658b3ea1b8d2fc""]","PDF p.12,16",partial,不能由30→90万吨倒推各扩建设施投产日。,,[],[],[]
002221.SZ,东华能源,宁波基地一期PP装置,PP,propane_PDH,operating,400000,75.31% at FY2021,,,2022-04-21,"[""002221-2021-annual""]","[""http://static.cninfo.com.cn/finalpage/2022-04-21/1213004778.PDF""]","[""a572bb9649ef10971f0283a42aabbc386ab06144ed241f44cfeb6a831bdbf86d""]","PDF p.13,15,25",partial,运行起点未定位，所有权只在2021年末快照确认。,,[],[],[]
002221.SZ,东华能源,张家港基地PP装置,PP,propane_PDH,operating,400000,历史状态权益未闭合,,,2022-04-21,"[""002221-2021-annual""]","[""http://static.cninfo.com.cn/finalpage/2022-04-21/1213004778.PDF""]","[""a572bb9649ef10971f0283a42aabbc386ab06144ed241f44cfeb6a831bdbf86d""]",PDF p.13,partial,报告期内已运行，但投产日期未定位。,,[],[],[]
002221.SZ,东华能源,宁波三期新增两套PP装置,PP,propane_PDH,operating,800000,75.31%,2021-06-30,,2022-04-21,"[""002221-2021-annual""]","[""http://static.cninfo.com.cn/finalpage/2022-04-21/1213004778.PDF""]","[""a572bb9649ef10971f0283a42aabbc386ab06144ed241f44cfeb6a831bdbf86d""]","PDF p.15,25-26",partial,披露2021年上半年先后投产，使用半年末保守日期。,,[],[],[]
002221.SZ,东华能源,茂名一期1.1期PP装置,PP,propane_PDH,test_production,400000,投产快照权益未闭合,2023-09-30,2024-12-30,2024-04-18,"[""002221-2023-annual""]","[""http://static.cninfo.com.cn/finalpage/2024-04-18/1219650781.PDF""]","[""108a856d3988428439035b97d7ec129e4cf30d635402c610a3cb484497d8f68b""]",PDF p.12-14,partial,披露2023年9月投入试生产；使用月末。,2025-04-23,"[""002221-2024-annual""]","[""http://static.cninfo.com.cn/finalpage/2025-04-23/1223212120.PDF""]","[""c3adc77d8dfaed551fe4c059e8423232742977b7e457674e4c421fe849a88a21""]"
