agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
31767805,19.92000,372.00,116614962,116614963,1787553261068,false
31767806,19.92000,325.31,116614964,116615021,1787553261567,false
31767807,19.92000,174.41,116615022,116615027,1787553264093,true
31767808,19.91000,29.18,116615028,116615028,1787553264315,true
31767809,19.91000,155.86,116615029,116615052,1787553265429,true
31767810,19.91000,78.15,116615053,116615053,1787553265835,true
31767811,19.90000,6.93,116615054,116615054,1787553265835,true
31767812,19.91000,434.66,116615055,116615063,1787553266080,false
31767813,19.91000,198.58,116615064,116615066,1787553266084,true
31767814,19.91000,216.78,116615067,116615080,1787553269136,false
31767815,19.91000,38.15,116615081,116615082,1787553269301,true
31767816,19.91000,238.18,116615083,116615089,1787553270381,false
31767817,19.91000,808.19,116615090,116615096,1787553270724,true
31767818,19.90000,230.03,116615097,116615143,1787553271733,true
31767819,19.90000,162.51,116615144,116615146,1787553271759,false
31767820,19.90000,312.47,116615147,116615153,1787553272208,false
31767821,19.90000,0.83,116615154,116615154,1787553272417,true
31767822,19.89000,25.08,116615155,116615155,1787553272757,true
31767823,19.90000,939.16,116615156,116615166,1787553274149,false
31767824,19.90000,18.54,116615167,116615167,1787553279888,true
31767825,19.90000,322.84,116615168,116615175,1787553280954,true
31767826,19.90000,0.26,116615176,116615176,1787553280998,false
31767827,19.90000,28.09,116615177,116615179,1787553282771,true
31767828,19.90000,404.97,116615180,116615187,1787553283620,false
31767829,19.90000,198.89,116615188,116615191,1787553283939,true
31767830,19.89000,606.64,116615192,116615237,1787553284411,true
31767831,19.88000,422.16,116615238,116615239,1787553284791,true
31767832,19.89000,253.52,116615240,116615248,1787553288752,false
31767833,19.90000,143.88,116615249,116615249,1787553288764,false
31767834,19.89000,38.83,116615250,116615251,1787553289115,true
31767835,19.89000,353.91,116615252,116615257,1787553289375,false
31767836,19.89000,11.65,116615258,116615258,1787553292752,true
31767837,19.89000,152.53,116615259,116615265,1787553295586,true
31767838,19.88000,2054.40,116615266,116615356,1787553295588,true
31767839,19.88000,307.41,116615357,116615361,1787553295592,false
31767840,19.88000,290.82,116615362,116615365,1787553295598,true
31767841,19.88000,1108.49,116615366,116615386,1787553295602,false
31767842,19.89000,983.43,116615387,116615424,1787553296084,false
31767843,19.89000,709.22,116615425,116615430,1787553296227,true
31767844,19.89000,307.49,116615431,116615434,1787553296789,false
31767845,19.89000,44.18,116615435,116615439,1787553297646,true
31767846,19.89000,28.93,116615440,116615442,1787553298070,false
31767847,19.89000,200.78,116615443,116615445,1787553298120,true
31767848,19.88000,150.09,116615446,116615467,1787553299470,true
31767849,19.88000,83.86,116615468,116615473,1787553299526,false
31767850,19.88000,62.36,116615474,116615474,1787553299528,true
31767851,19.88000,34.76,116615475,116615475,1787553300014,true
31767852,19.88000,34.70,116615476,116615477,1787553300128,true
